time,flux,rhs_release,scale_flux,v
0,0,0,-0,1000000
0.1,-250636552.12676,-7.7045826031442e-14,250636552.12676,982953.24795907
0.2,-173015022.8623,3.8439411014661e-12,173015022.8623,954139.07441631
0.3,-139843901.70376,-8.2737903829228e-11,139843901.70376,932860.33818449
0.4,-118973199.93642,9.936215081607e-10,118973199.93642,915257.19563336
0.5,-104476148.9321,-7.1364253113871e-09,104476148.9321,900059.54943392
0.6,-93638314.320152,2.9889717351068e-08,93638314.320152,886585.02585734
0.7,-85154951.944355,-6.0309427396298e-08,85154951.944355,874424.61090295
0.8,-78288665.750166,-2.257628127713e-09,78288665.750166,863308.18338905
0.9,-72589978.355712,1.5895656256342e-07,72589978.355712,853046.34882214
1,-67766579.909095,1.2184283461364e-07,67766579.909095,843500.16162096
1.1,-63619115.737609,-3.360092482808e-07,63619115.737609,834564.11715175
1.2,-60006318.800861,-1.0368795347031e-06,60006318.800861,826155.87776828
1.3,-56824924.468804,-1.2193348965187e-06,56824924.468804,818209.73735998
1.4,-53997470.416643,5.0637141479865e-07,53997470.416643,810672.28235035
1.5,-51464566.065169,6.1033464049842e-06,51464566.065169,803499.4052485
1.6,-49179817.53092,1.79971476324e-05,49179817.53092,796654.19517472
1.7,-47106391.011373,3.8943021286248e-05,47106391.011373,790105.40128151
1.8,-45214625.339936,7.1893731940993e-05,45214625.339936,783826.29529895
1.9,-43480334.533254,0.00011988072566572,43480334.533254,777793.81130805
2,-41883576.500597,0.00018591450476419,41883576.500597,771987.8847092
2.1,-40407743.818291,0.00027290572850715,40407743.818291,766390.93677525
2.2,-39038881.537376,0.00038360604267856,39038881.537376,760987.46744312
2.3,-37765167.94936,0.00052056637679808,37765167.94936,755763.72981894
2.4,-36576514.242752,0.00068610996510934,36576514.242752,750707.46722723
2.5,-35464252.193742,0.00088231732003855,35464252.193742,745807.69873033
2.6,-34420887.926746,0.0011110206012768,34420887.926746,741054.54263689
2.7,-33439905.872181,0.0013738051470953,33439905.872181,736439.07009159
2.8,-32515611.290303,0.0016720162886492,32515611.290303,731953.182709
2.9,-31643002.727996,0.0020067699097208,31643002.727996,727589.50959277
3,-30817667.924925,0.0023789655222923,30817667.924925,723341.32010925
3.1,-30035698.247104,0.0027893008941958,30035698.247104,719202.44956069
3.2,-29293617.874571,0.0032382874879077,29293617.874571,715167.23549433
3.3,-28588324.824482,0.0037262661522166,28588324.824482,711230.46283901
3.4,-27917041.533508,0.0042534226556267,27917041.533508,707387.31641398
3.5,-27277273.211229,0.0048198027671298,27277273.211229,703633.33963151
3.6,-26666772.549811,0.0054253266814123,26666772.549811,699964.39843211
3.7,-26083509.663611,0.0060698026562516,26083509.663611,696376.64966462
3.8,-25525646.356592,0.0067529397837666,25525646.356592,692866.51326091
3.9,-24991513.990865,0.0074743598577213,24991513.990865,689430.6476661
4,-24479594.367842,0.008233608329028,24479594.367842,686065.92807423
4.1,-23988503.142815,0.0090301643632603,23988503.142815,682769.42709243
4.2,-23516975.380797,0.009863450029223,23516975.380797,679538.39751551
4.3,-23063852.931054,0.010732838657915,23063852.931054,676370.25694162
4.4,-22628073.35364,0.011637662417749,22628073.35364,673262.57399977
4.5,-22208660.176357,0.012577219155584,22208660.176357,670213.05599322
4.6,-21804714.297156,0.013550778554718,21804714.297156,667219.53779019
4.7,-21415406.376752,0.014557587661041,21415406.376752,664279.97181685
4.8,-21039970.0906,0.015596875827495,21039970.0906,661392.41902656
4.9,-20677696.129406,0.016667859125194,20677696.129406,658555.04073618
5,-20327926.853837,0.017769744267232,20327926.853837,655766.09123401
5.1,-19990051.522845,0.018901732088592,19990051.522845,653023.91107575
5.2,-19663502.026375,0.020063020622785,19663502.026375,650326.92099525
5.3,-19347749.062843,0.021252807812983,19347749.062843,647673.61636557
5.4,-19042298.709747,0.022470293892605,19042298.709747,645062.56215314
5.5,-18746689.342593,0.023714683467535,18746689.342593,642492.38831481
5.6,-18460488.86307,0.024985187329516,18460488.86307,639961.78559293
5.7,-18183292.202295,0.026281024027745,18183292.202295,637469.50166881
5.8,-17914719.069181,0.027601421223337,17914719.069181,635014.33763908
5.9,-17654411.917569,0.028945616849093,17654411.917569,632595.14478354
6,-17402034.108875,0.030312860094988,17402034.108875,630210.82159613
6.1,-17157268.249736,0.031702412237865,17157268.249736,627860.31105401
6.2,-16919814.686441,0.033113547332093,16919814.686441,625542.59810208
6.3,-16689390.140014,0.034545552776338,16689390.140014,623256.70733272
6.4,-16465726.467592,0.035997729770122,16465726.467592,621001.70084264
6.5,-16248569.537313,0.037469393672528,16248569.537313,618776.67625043
6.6,-16037678.205316,0.038959874274149,16037678.205316,616580.76486029
6.7,-15832823.384675,0.040468515992317,15832823.384675,614413.12995861
6.8,-15633787.197169,0.041994677998601,15633787.197169,612272.96523162
6.9,-15440362.199727,0.043537734286679,15440362.199727,610159.49329324
7,-15252350.678279,0.045097073687837,15252350.678279,608071.96431371
7.1,-15069564.002446,0.046672099840625,15069564.002446,606009.65474001
7.2,-14891822.035208,0.048262231120502,14891822.035208,603971.86610044
7.3,-14718952.592278,0.04986690053471,14718952.592278,601957.92388598
7.4,-14550790.946445,0.051485555587048,14550790.946445,599967.17650228
7.5,-14387179.372622,0.053117658116738,14387179.372622,597998.99428619
7.6,-14227966.729771,0.054762684115119,14227966.729771,596052.76858174
7.7,-14073008.076251,0.056420123523495,14073008.076251,594127.91087068
7.8,-13922164.315487,0.05808948001512,13922164.315487,592223.85195328
7.9,-13775301.869157,0.059770270763954,13775301.869157,590340.04117546
8,-13632292.375375,0.061462026202547,13632292.375375,588475.94569872
8.1,-13493012.409598,0.063164289771142,13493012.409598,586631.04980951
8.2,-13357343.226189,0.064876617659836,13357343.226189,584804.8542652
8.3,-13225170.518814,0.06659857854545,13225170.518814,582996.87567393
8.4,-13096384.197961,0.068329753324554,13096384.197961,581206.64590584
8.5,-12970878.184103,0.070069734843917,12970878.184103,579433.71153357
8.6,-12848550.215119,0.071818127629509,12848550.215119,577677.63329987
8.7,-12729301.666747,0.073574547615041,12729301.666747,575937.98561053
8.8,-12613037.384952,0.075338621870913,12613037.384952,574214.35605097
8.9,-12499665.529192,0.077109988334305,12499665.529192,572506.34492481
9,-12389097.425682,0.078888295541088,12389097.425682,570813.56481314
9.1,-12281247.429807,0.0806732023601,12281247.429807,569135.64015312
9.2,-12176032.79695,0.082464377730292,12176032.79695,567472.20683471
9.3,-12073373.561052,0.084261500401154,12073373.561052,565822.91181442
9.4,-11973192.420276,0.086064258676773,11973192.420276,564187.41274518
9.5,-11875414.629228,0.087872350163828,11875414.629228,562565.37762124
9.6,-11779967.89722,0.08968548152378,11779967.89722,560956.4844373
9.7,-11686782.292111,0.091503368229439,11686782.292111,559360.42086122
9.8,-11595790.149311,0.093325734326099,11595790.149311,557776.88391932
9.9,-11506925.985558,0.095152312197369,11506925.985558,556205.57969381
10,-11420126.417129,0.096982842335787,11420126.417129,554646.22303166
10.1,-11335330.082164,0.098817073118305,11335330.082164,553098.53726424
10.2,-11252477.5668,0.1006547605867,11252477.5668,551562.25393735
10.3,-11171511.334884,0.10249566823294,11171511.334884,550037.11255102
10.4,-11092375.660983,0.10433956678945,11092375.660983,548522.86030862
10.5,-11015016.566501,0.10618623402446,11015016.566501,547019.25187491
10.6,-10939381.758691,0.10803545454216,10939381.758691,545526.04914258
10.7,-10865420.572374,0.10988701958779,10865420.572374,544043.0210069
10.8,-10793083.914179,0.11174072685769,10793083.914179,542569.94314804
10.9,-10722324.20922,0.11359638031403,10722324.20922,541106.597821
11,-10653095.349951,0.11545379000436,10653095.349951,539652.77365248
11.1,-10585352.647168,0.11731277188587,10585352.647168,538208.26544461
11.2,-10519052.782994,0.1191731476542,10519052.782994,536772.87398521
11.3,-10454153.765722,0.12103474457686,10454153.765722,535346.40586431
11.4,-10390614.886462,0.12289739533107,10390614.886462,533928.67329678
11.5,-10328396.67744,0.124760937846,10328396.67744,532519.49395057
11.6,-10267460.871892,0.12662521514926,10267460.871892,531118.69078066
11.7,-10207770.365474,0.1284900752177,10207770.365474,529726.09186832
11.8,-10149289.179091,0.13035537083218,10149289.179091,528341.5302655
11.9,-10091982.423096,0.13222095943653,10091982.423096,526964.84384419
12,-10035816.262779,0.13408670300028,10035816.262779,525595.87515061
12.1,-9980757.8850926,0.13595246788539,9980757.8850926,524234.47126394
12.2,-9926775.4665473,0.13781812471664,9926775.4665473,522880.48365953
12.3,-9873838.1422384,0.13968354825571,9873838.1422384,521533.76807642
12.4,-9821915.9759395,0.14154861727887,9821915.9759395,520194.18438895
12.5,-9770979.9312241,0.14341321445808,9770979.9312241,518861.59648244
12.6,-9721001.8435684,0.14527722624559,9721001.8435684,517535.87213265
12.7,-9671954.3933954,0.14714054276176,9671954.3933954,516216.88288904
12.8,-9623811.0800194,0.14900305768619,9623811.0800194,514904.50396157
12.9,-9576546.1964567,0.15086466815191,9576546.1964567,513598.61411105
13,-9530134.8050652,0.15272527464266,9530134.8050652,512299.09554285
13.1,-9484552.713983,0.15458478089322,9484552.713983,511005.8338038
13.2,-9439776.4543324,0.1564430937925,9439776.4543324,509718.71768233
13.3,-9395783.2581626,0.15830012328954,9395783.2581626,508437.6391116
13.4,-9352551.0371006,0.16015578230225,9352551.0371006,507162.49307564
