time,outflux,scaled_outflux
0,0,0
0.01,7.9652711428312e-12,25187780.407861
0.02,3.1165200852448e-12,9855059.813561
0.03,9.9714227410311e-12,31531632.991689
0.04,5.9065447876632e-11,186776759.27549
0.05,2.8622063798251e-10,905086901.4283
0.06,1.1465114771751e-09,3625498593.123
0.07,3.9381234992715e-09,12453134129.396
0.08,1.1922228044528e-08,37700469522.405
0.09,3.2466431577509e-08,102665349934.4
0.1,8.0778770598043e-08,255438628385.13
0.11,1.8589383608124e-07,587833488456.08
0.12,4.0518751962734e-07,1281283974565.6
0.13,8.1616622892045e-07,2580880849092.2
0.14,1.559661058081e-06,4931960197863.7
0.15,2.8477568403128e-06,9005176680437.1
0.16,4.9876529974304e-06,15771956308475
0.17,8.4083771668389e-06,26588970276978
0.18,1.3691841424254e-05,43296340951776
0.19,2.1603952498947e-05,68316018592170
0.2,3.3121873443673e-05,1.0473798820358e+14
0.21,4.9460519568311e-05,1.5640405497891e+14
0.22,7.2094252790827e-05,2.2797644617515e+14
0.23,0.00010277864286915,3.2500662448082e+14
0.24,0.00014356035748769,4.5396656244756e+14
0.25,0.00019678084014302,6.2226037270026e+14
0.26,0.00026507256297399,8.3821245863635e+14
0.27,0.00035135207174078,1.1110455212587e+15
0.28,0.00045880430386611,1.4508309696854e+15
0.29,0.0005908600018077,1.8684174977163e+15
0.3,0.00075116793423532,2.3753432416389e+15
0.31,0.00094356282546516,2.9837343666859e+15
0.32,0.001172029941955,3.7061930824501e+15
0.33,0.0014406674049103,4.5556784678073e+15
0.34,0.0017536471324389,5.5453829621982e+15
0.35,0.002115175448678,6.6886078038094e+15
0.36,0.0025294540241456,7.9986395151531e+15
0.37,0.0030006440777549,9.4886367026767e+15
0.38,0.0035328277744698,1.1171507988428e+16
0.39,0.0041299766849281,1.305981227308e+16
0.4,0.0047959218757504,1.5165664155498e+16
0.41,0.0055343264031966,1.7500646952188e+16
0.42,0.0063486615004283,2.0075737396654e+16
0.43,0.0072421861809857,2.2901241141513e+16
0.44,0.0082179302446951,2.5986739019775e+16
0.45,0.0092786806167061,2.9341043846148e+16
0.46,0.010426970894809,3.2972167363564e+16
0.47,0.01166507393618,3.6887296800989e+16
0.48,0.012994997281812,4.1092780404546e+16
0.49,0.014418481193924,4.5594121231426e+16
0.5,0.015936999067388,5.0395978450894e+16
0.51,0.017551759969328,5.550217537501e+16
0.52,0.019263713060352,6.0915713439444e+16
0.53,0.021073553655175,6.6638791368396e+16
0.54,0.02298173068868,7.2672828783743e+16
0.55,0.024988455364679,7.901849355419e+16
0.56,0.02709371077817,8.567573222273e+16
0.57,0.029297261615666,9.2643800681058e+16
0.58,0.031598667438499,9.9921306174022e+16
0.59,0.033997291634274,1.075062356059e+17
0.6,0.036492314058488,1.1539599551575e+17
0.61,0.039082742938137,1.2358744971898e+17
0.62,0.041767426818452,1.3207695708531e+17
0.63,0.044545066519122,1.4086040934677e+17
0.64,0.047414226381302,1.4993326666295e+17
0.65,0.050373346743862,1.5929059707344e+17
0.66,0.053420754548515,1.6892711003331e+17
0.67,0.056554674340139,1.7883719119839e+17
0.68,0.059773238894663,1.890149360327e+17
0.69,0.063074499376798,1.9945418192931e+17
0.7,0.066456435070756,2.1014853898075e+17
0.71,0.069916962666062,2.2109141934262e+17
0.72,0.073453945085994,2.3227606515093e+17
0.73,0.077065199851787,2.4369557497132e+17
0.74,0.080748506980378,2.5534292877335e+17
0.75,0.084501616417473,2.6721101143533e+17
0.76,0.088322255011099,2.792926347961e+17
0.77,0.092208133033604,2.9158055827886e+17
0.78,0.096156950262421,3.0406750811983e+17
0.79,0.10016640163182,3.1674619524014e+17
0.8,0.10423418246936,3.2960933180461e+17
0.81,0.108357993332,3.4264964651446e+17
0.82,0.11253554445764,3.5585989868395e+17
0.83,0.11676455984847,3.6923289115284e+17
0.84,0.12104278100311,3.8276148208804e+17
0.85,0.12536797031436,3.9643859572806e+17
0.86,0.12973791414981,4.1025723212451e+17
0.87,0.1341504256322,4.2421047593414e+17
0.88,0.13860334713635,4.3829150431456e+17
0.89,0.14309455251902,4.5249359397564e+17
0.9,0.1476219490979,4.6681012743739e+17
0.91,0.15218347939525,4.8123459854367e+17
0.92,0.1567771226613,4.9576061727955e+17
0.93,0.16140089619202,5.1038191393839e+17
0.94,0.16605285645528,5.2509234268288e+17
0.95,0.17073110003873,5.3988588454246e+17
0.96,0.17543376443229,5.5475664988778e+17
0.97,0.18015902849247,5.6969887989888e+17
0.98,0.18490511346093,5.8470694978616e+17
0.99,0.18967028274746,5.9977536810403e+17
1,0.19445284237582,6.1489877816081e+17
1.01,0.1992511411116,6.300719584231e+17
1.02,0.20406357048719,6.452898225946e+17
1.03,0.20888856473475,6.6054741940423e+17
1.04,0.21372460063528,6.7583993212889e+17
1.05,0.21857019729144,6.9116267787499e+17
1.06,0.22342391583125,7.0651110664158e+17
1.07,0.22828435904948,7.2188080018626e+17
1.08,0.23315017099293,7.3726747071385e+17
1.09,0.23802003649561,7.5266695940642e+17
1.1,0.24289268066915,7.68075234812e+17
1.11,0.24776686835368,7.83488391108e+17
1.12,0.25264140353376,7.9890264625444e+17
1.13,0.2575151287239,8.1431434005072e+17
1.14,0.26238692432763,8.2971993210884e+17
1.15,0.26725570797387,8.4511599975498e+17
1.16,0.27212043383414,8.6049923587032e+17
1.17,0.27698009192376,8.7586644668132e+17
1.18,0.28183370739,8.9121454950865e+17
1.19,0.28668033978982,9.0654057048337e+17
1.2,0.29151908235983,9.2184164223826e+17
1.21,0.29634906128056,9.3711500158138e+17
1.22,0.30116943493722,9.5235798715846e+17
1.23,0.30597939317884,9.6756803711012e+17
1.24,0.31077815657749,9.8274268672935e+17
1.25,0.31556497568913,9.9787956612417e+17
1.26,0.3203391303175,1.01297639789e+18
1.27,0.3250999287824,1.0280309947957e+18
1.28,0.32984670719341,1.043041257487e+18
1.29,0.33457882873015,1.0580051722105e+18
1.3,0.33929568292993,1.072920808561e+18
1.31,0.34399668498377,1.0877863172557e+18
1.32,0.34868127504123,1.1025999279354e+18
1.33,0.35334891752502,1.1173599469976e+18
1.34,0.35799910045568,1.132064755461e+18
1.35,0.36263133478699,1.1467128068634e+18
1.36,0.36724515375239,1.1613026251958e+18
1.37,0.37184011222288,1.1758328028712e+18
1.38,0.3764157860766,1.1903019987314e+18
1.39,0.38097177158043,1.2047089360916e+18
1.4,0.3855076847837,1.219052400823e+18
1.41,0.39002316092422,1.2333312394746e+18
1.42,0.39451785384673,1.2475443574341e+18
1.43,0.39899143543385,1.2616907171289e+18
1.44,0.40344359504956,1.2757693362657e+18
1.45,0.40787403899517,1.2897792861105e+18
1.46,0.41228248997789,1.3037196898081e+18
1.47,0.41666868659178,1.3175897207405e+18
1.48,0.42103238281122,1.3313886009256e+18
1.49,0.42537334749656,1.3451155994536e+18
1.5,0.42969136391211,1.3587700309629e+18
1.51,0.43398622925615,1.3723512541538e+18
1.52,0.43825775420295,1.3858586703406e+18
1.53,0.44250576245654,1.3992917220401e+18
1.54,0.44673009031621,1.4126498915979e+18
1.55,0.4509305862534,1.4259326998505e+18
1.56,0.45510711049999,1.4391397048231e+18
1.57,0.45925953464765,1.4522705004628e+18
1.58,0.46338774125813,1.4653247154065e+18
1.59,0.46749162348434,1.4783020117822e+18
1.6,0.47157108470186,1.4912020840442e+18
1.61,0.47562603815087,1.5040246578407e+18
1.62,0.47965640658819,1.5167694889132e+18
1.63,0.48366212194922,1.5294363620278e+18
1.64,0.48764312501958,1.5420250899369e+18
1.65,0.49159936511626,1.5545355123706e+18
1.66,0.49553079977809,1.5669674950583e+18
1.67,0.49943739446522,1.5793209287779e+18
1.68,0.50331912226754,1.5915957284344e+18
1.69,0.50717596362171,1.6037918321646e+18
1.7,0.51100790603665,1.6159092004691e+18
1.71,0.51481494382731,1.6279478153707e+18
1.72,0.51859707785645,1.6399076795977e+18
1.73,0.52235431528426,1.6517888157919e+18
1.74,0.52608666932568,1.6635912657417e+18
1.75,0.52979415901512,1.6753150896376e+18
1.76,0.5334768089784,1.6869603653515e+18
1.77,0.53713464921189,1.6985271877378e+18
1.78,0.54076771486836,1.7100156679567e+18
1.79,0.54437604604967,1.7214259328183e+18
1.8,0.54795968760588,1.7327581241473e+18
1.81,0.55151868894075,1.7440123981684e+18
1.82,0.55505310382339,1.7551889249103e+18
1.83,0.55856299020588,1.766287887629e+18
1.84,0.56204841004674,1.7773094822498e+18
1.85,0.5655094291401,1.7882539168268e+18
1.86,0.56894611695027,1.7991214110202e+18
1.87,0.57235854645178,1.8099121955898e+18
1.88,0.57574679397452,1.8206265119062e+18
1.89,0.57911093905398,1.8312646114765e+18
1.9,0.58245106428635,1.8418267554863e+18
1.91,0.58576725518842,1.8523132143568e+18
1.92,0.58905960006206,1.8627242673162e+18
1.93,0.59232818986321,1.8730602019854e+18
1.94,0.59557311807519,1.8833213139774e+18
1.95,0.59879448058626,1.8935079065099e+18
1.96,0.60199237557127,1.9036202900315e+18
1.97,0.60516690337725,1.9136587818595e+18
1.98,0.60831816641292,1.9236237058309e+18
1.99,0.61144626904188,1.9335153919642e+18
2,0.61455131747943,1.9433341761335e+18
2.01,0.61763341969296,1.9530803997531e+18
2.02,0.62069268530566,1.9627544094736e+18
2.03,0.62372922550363,1.9723565568876e+18
2.04,0.62674315294609,1.9818871982461e+18
2.05,0.6297345816788,1.9913466941847e+18
2.06,0.63270362705043,2.0007354094589e+18
2.07,0.63565040563181,2.0100537126889e+18
2.08,0.63857503513811,2.0193019761137e+18
2.09,0.64147763435366,2.0284805753531e+18
2.1,0.64435832305945,2.0375898891786e+18
2.11,0.64721722196325,2.0466302992922e+18
2.12,0.65005445263212,2.0556021901133e+18
2.13,0.65287013742743,2.064505948573e+18
2.14,0.65566439944217,2.073341963916e+18
2.15,0.65843736244048,2.0821106275093e+18
2.16,0.66118915079947,2.0908123326581e+18
2.17,0.66391988945304,2.0994474744284e+18
2.18,0.66662970383786,2.1080164494761e+18
2.19,0.66931871984127,2.1165196558821e+18
2.2,0.67198706375113,2.1249574929938e+18
2.21,0.67463486220752,2.1333303612726e+18
2.22,0.67726224215624,2.1416386621465e+18
2.23,0.67986933080408,2.1498827978686e+18
2.24,0.68245625557574,2.1580631713816e+18
2.25,0.68502314407243,2.1661801861858e+18
2.26,0.68757012403199,2.1742342462139e+18
2.27,0.69009732329059,2.1822257557095e+18
2.28,0.69260486974592,2.1901551191106e+18
2.29,0.69509289132173,2.1980227409376e+18
2.3,0.69756151593383,2.205829025686e+18
2.31,0.70001087145745,2.2135743777228e+18
2.32,0.70244108569579,2.2212592011872e+18
2.33,0.70485228634994,2.2288838998958e+18
2.34,0.70724460098991,2.2364488772503e+18
2.35,0.70961815702693,2.2439545361506e+18
2.36,0.71197308168683,2.2514012789101e+18
2.37,0.71430950198447,2.2587895071753e+18
2.38,0.71662754469934,2.2661196218482e+18
2.39,0.71892733635209,2.2733920230126e+18
2.4,0.72120900318212,2.2806071098625e+18
2.41,0.72347267112603,2.2877652806347e+18
2.42,0.72571846579714,2.2948669325437e+18
2.43,0.72794651246573,2.3019124617191e+18
2.44,0.73015693604032,2.3089022631467e+18
2.45,0.73234986104965,2.3158367306112e+18
2.46,0.73452541162552,2.3227162566422e+18
2.47,0.73668371148644,2.3295412324624e+18
2.48,0.73882488392195,2.336312047938e+18
2.49,0.74094905177776,2.3430290915316e+18
2.5,0.74305633744153,2.3496927502576e+18
2.51,0.74514686282937,2.356303409639e+18
2.52,0.74722074937294,2.3628614536671e+18
2.53,0.74927811800723,2.3693672647625e+18
2.54,0.75131908915896,2.3758212237385e+18
2.55,0.75334378273554,2.3822237097663e+18
2.56,0.75535231811459,2.3885751003419e+18
2.57,0.75734481413404,2.3948757712546e+18
2.58,0.75932138908276,2.4011260965575e+18
2.59,0.76128216069168,2.4073264485392e+18
2.6,0.76322724612543,2.4134771976978e+18
2.61,0.76515676197443,2.4195787127155e+18
2.62,0.76707082424746,2.4256313604353e+18
2.63,0.76896954836466,2.4316355058387e+18
2.64,0.770853049151,2.4375915120253e+18
2.65,0.77272144083007,2.4434997401928e+18
2.66,0.77457483701839,2.4493605496196e+18
2.67,0.77641335072002,2.4551742976469e+18
2.68,0.77823709432155,2.4609413396636e+18
2.69,0.78004617958747,2.4666620290915e+18
2.7,0.78184071765588,2.4723367173714e+18
2.71,0.78362081903453,2.477965753951e+18
2.72,0.78538659329282,2.4835494853106e+18
2.73,0.78713814988127,2.4890882575546e+18
2.74,0.78887559722163,2.4945824135342e+18
2.75,0.79059904345145,2.5000322952022e+18
2.76,0.79230859597726,2.5054382421993e+18
2.77,0.79400436150428,2.5108005919488e+18
2.78,0.79568644605929,2.5161196797287e+18
2.79,0.79735495500286,2.52139583871e+18
2.8,0.79900999303549,2.5266293999768e+18
2.81,0.80065166420038,2.5318206925345e+18
2.82,0.80228007188461,2.5369700433135e+18
2.83,0.80389531881931,2.5420777771704e+18
2.84,0.80549750707965,2.5471442168873e+18
2.85,0.80708673808451,2.5521696831708e+18
2.86,0.80866311259635,2.5571544946522e+18
2.87,0.81022673072105,2.5620989678861e+18
2.88,0.81177769190798,2.5670034173514e+18
2.89,0.81331609495014,2.5718681554513e+18
2.9,0.81484203798452,2.5766934925147e+18
2.91,0.81635561849261,2.5814797367973e+18
2.92,0.81785693330103,2.5862271944845e+18
2.93,0.81934607858238,2.5909361696932e+18
2.94,0.82082314985616,2.5956069644751e+18
2.95,0.82228824198987,2.6002398788204e+18
2.96,0.82374144920026,2.6048352106611e+18
2.97,0.82518286505463,2.6093932558758e+18
2.98,0.82661258247233,2.613914308294e+18
2.99,0.82803069372634,2.6183986597014e+18
3,0.82943729044492,2.6228465998449e+18
3.01,0.83083246361347,2.6272584164385e+18
3.02,0.83221630357635,2.6316343951691e+18
3.03,0.83358890003889,2.635974819703e+18
3.04,0.83495034206946,2.640279971692e+18
3.05,0.83630071810162,2.6445501307809e+18
3.06,0.83764011593633,2.6487855746139e+18
3.07,0.8389686227443,2.652986578842e+18
3.08,0.84028632506835,2.6571534171311e+18
3.09,0.84159330882582,2.661286361169e+18
3.1,0.84288965931115,2.6653856806737e+18
3.11,0.84417546119843,2.6694516434017e+18
3.12,0.845450798544,2.6734845151558e+18
3.13,0.8467157547892,2.6774845597944e+18
3.14,0.84797041276306,2.6814520392394e+18
3.15,0.84921485468513,2.6853872134853e+18
3.16,0.85044916216831,2.6892903406086e+18
3.17,0.85167341622169,2.6931616767762e+18
3.18,0.85288769725357,2.6970014762552e+18
3.19,0.85409208507433,2.7008099914221e+18
3.2,0.8552866588995,2.704587472772e+18
3.21,0.85647149735275,2.7083341689289e+18
3.22,0.85764667846899,2.7120503266546e+18
3.23,0.85881227969748,2.7157361908594e+18
3.24,0.85996837790492,2.7193920046109e+18
3.25,0.86111504937865,2.7230180091452e+18
3.26,0.86225236982981,2.7266144438758e+18
3.27,0.86338041439653,2.7301815464047e+18
3.28,0.8644992576472,2.733719552532e+18
3.29,0.86560897358366,2.7372286962663e+18
3.3,0.86670963564452,2.7407092098351e+18
3.31,0.86780131670841,2.7441613236953e+18
3.32,0.86888408909725,2.7475852665433e+18
3.33,0.86995802457961,2.7509812653256e+18
3.34,0.871023194374,2.7543495452495e+18
3.35,0.87207966915222,2.7576903297931e+18
3.36,0.87312751904266,2.7610038407167e+18
3.37,0.87416681363371,2.7642902980725e+18
3.38,0.87519762197707,2.7675499202159e+18
3.39,0.87622001259111,2.7707829238156e+18
3.4,0.87723405346427,2.7739895238647e+18
3.41,0.87823981205842,2.7771699336912e+18
3.42,0.87923735531222,2.7803243649683e+18
3.43,0.88022674964448,2.7834530277258e+18
3.44,0.88120806095759,2.7865561303601e+18
3.45,0.88218135464084,2.7896338796453e+18
3.46,0.88314669557383,2.7926864807436e+18
3.47,0.88410414812983,2.7957141372161e+18
3.48,0.88505377617913,2.7987170510337e+18
3.49,0.88599564309246,2.801695422587e+18
3.5,0.88692981174431,2.8046494506978e+18
3.51,0.88785634451628,2.8075793326294e+18
3.52,0.88877530330047,2.8104852640968e+18
3.53,0.88968674950281,2.8133674392778e+18
3.54,0.89059074404639,2.8162260508235e+18
3.55,0.8914873473748,2.8190612898686e+18
3.56,0.89237661945545,2.821873346042e+18
3.57,0.89325861978291,2.8246624074775e+18
3.58,0.89413340738217,2.8274286608239e+18
3.59,0.89500104081199,2.8301722912557e+18
3.6,0.89586157816815,2.8328934824833e+18
3.61,0.89671507708674,2.8355924167637e+18
3.62,0.89756159474742,2.8382692749103e+18
3.63,0.89840118787671,2.8409242363037e+18
3.64,0.89923391275116,2.8435574789017e+18
3.65,0.90005982520067,2.8461691792495e+18
3.66,0.90087898061163,2.8487595124901e+18
3.67,0.90169143393018,2.851328652374e+18
3.68,0.90249723966539,2.8538767712699e+18
3.69,0.90329645189242,2.8564040401742e+18
3.7,0.9040891242557,2.8589106287214e+18
3.71,0.90487530997211,2.8613967051938e+18
3.72,0.90565506183405,2.8638624365316e+18
3.73,0.90642843221263,2.8663079883428e+18
3.74,0.90719547306076,2.8687335249127e+18
3.75,0.90795623591622,2.8711392092143e+18
3.76,0.90871077190476,2.8735252029172e+18
3.77,0.90945913174318,2.8758916663983e+18
3.78,0.91020136574235,2.8782387587504e+18
3.79,0.91093752381022,2.8805666377927e+18
3.8,0.91166765545493,2.8828754600796e+18
3.81,0.91239180978769,2.8851653809106e+18
3.82,0.91311003552586,2.8874365543399e+18
3.83,0.91382238099588,2.8896891331852e+18
